"ms","n_of_programmes_cohesion_policy","n_of_programmes_opted_100","n_of_priorities_opted_100","total_n_of_priorities"
"UK","12","4","21","59"
"SI","1","0","0","16"
"IE","3","3","6","19"
"NL","5","0","0","28"
"LT","1","0","0","14"
"HR","2","2","17","18"
"BG","8","0","0","43"
"DK","2","0","0","14"
"LV","1","0","0","14"
"GR","18","2","3","177"
"TC","76","9","45","376"
"MT","3","0","0","20"
"HU","7","7","41","43"
"CY","2","2","15","17"
"AT","2","0","0","12"
"FR","40","21","46","397"
"EE","1","1","2","17"
"FI","3","0","0","17"
"CZ","8","4","8","38"
"LU","2","1","1","8"
"SK","7","5","36","46"
"SE","11","1","1","53"
"PT","12","12","94","99"
"BE","7","2","7","46"
"RO","7","4","25","42"
"PL","22","16","126","222"
"ES","45","41","279","349"
"IT","51","42","262","324"
"DE","33","9","39","203"
